A SOUND EDUCATION||||9433 W. OGDEN AVE|BROOKFIELD|IL|60513|708 485 5074|1-708-485-4716|asoundeducation@yahoo.com|0000100010
ABSOLUTE MUSIC||||10 E MAIN STREET|FAIRBORN|OH|45324|937-878-4896|1-937-878-0555|chuckbeck@absolutemusic.com|0000100038
ALAMO MUSIC CENTER, INC||||425 N MAIN AVE|SAN ANTONIO|TX|78205|210-224-1010|1-210-212-8768|ordering@alamomusic.com|0000100091
ALL PRO AUDIO & TV / SVC||||2715 S MEMORIAL DR|TULSA|OK|74129|918-632-0800|918-632-0801|allproaudiotv@intcon.net|0000100102
ALL STAR MUSIC||||3707 E. HIGHLAND DRIVE|JONESBORO|AR|72401|870-931-5600|1-870-934-1073|allstar@bscn.com|0000100105
ALLEGRO MUSIC||||3115 WALNUT AVE|FREMONT|CA|94538|510-793-3500|1-510-793-3521|clarence@allegromusic.net|0000100111
ALLEGRO MUSIC, LLC||||17739 COTTONWOOD DR.|PARKER|CO|80134|303-680-3915|1-303-680-2279||0000100113
ALLEN MUSIC||||215 KENTUCKY AVE.|PADUCAH|KY|42003|270-442-8900|1-270-442-8955|guitars@allenmusicshop.com|0000100114
ALPHA MUSIC||||4137 EAST FIRST STREET|BLUE RIDGE|GA|30513|706-258-4599|1-828-835-8561|alphamusic@verizon.net|0000100129
ALPHA MUSIC||||3234 VIRGINA BEACH BLVD, STE 103|VIRGINA BEACH|VA|23452|757-486-2001|1-757-486-7027|eric@alpha-music.com|0000100130
ALTA LOMA MUSIC||||8615 BASELINE ROAD|RANCHO CUCAMONGA|CA|91730|909-989-5757|1-909-989-0292|info@altalomamusic.com|0000100135
ALTEL SOUND SYS. OF CT.||||2392 MAIN STREET|BRIDGEPORT|CT|06606|203-374-0162|1-203-336-1992|sharylaltel@sbcglobal.net|0000100136
ALTO MUSIC||||180 CARPENTER AVE.|MIDDLETOWN|NY|10940|845-692-6922|1-845-346-0016|altomusic@altomusic.com|0000100138
AMERICAN MUSIC||||2597 E ASHLAN AVE|FRESNO|CA|93726|559-221-0233|1-559-221-8267|AMERICANMUSIC@EARTHLINK.NET|0000100149
AMERICAN MUSIC EXCHANGE||||204 N. EL CAMINO REAL STE. F|ENCINITAS|CA|92024|760-632-1024|1-760-632-1025|amxmusic@gmail.com|0000100150
AMPAQ GIGASONIC||||260 EAST GISH ROAD|SAN JOSE|CA|95112|408-573-1400|1-408-573-0602|LSUN@GIGASONIC.COM|0000100160
ANKENY MUSIC CENTER||||637 SOUTH ANKENY BLVD|ANKENY|IA|50021|515-963-1818|1-515-963-1991|ankmusiccenter@iowatelcom.net|0000100172
ARIZONA MUSICAL INSTRUMENT CO.||||3510 EAST BELL ROAD STE 12|PHOENIX|AZ|85032|602-482-8500|1-602-482-8558|92MUSIC@MSN.COM|0000100187
ASHLEY MUSIC||||1510 N MAIN|HARRISON|AR|72601|870-741-8315|1-870-741-8317|ASHLEYMUSICINC@AOL.COM|0000100202
AUDIO DESIGN & SERVICE||||10764 VANOWEN STREET|NO. HOLLYWOOD|CA|91605|818-754-0467|1-818-754-0495|info@audiodesign-service.com|0000100246
AUDIO IMAGES CORP.||||735 BRYANT STR|SAN FRANCISCO|CA|94107|415-957-9131|1-415-957-1531|jim@audioimages.com|0000100259
AUDIO REPAIR SPECIALIST (SVC)||||6603 INDEPENDENCE AVE. SUITE G|CANOGA PARK|CA|91303|818-346-3762|1-818-346-0735|ARSproaudio@yahoo.com|0000100276
AUDIO SERVICES||||544 CENTRAL DRIVE #101|VIRGINIA BEACH|VA|23454|757-498-8277|1-757-798-9554|info@audio-services.com|0000100279
AUDIO VIDEO ASSOC., INC.||||11939 MANCHESTER RD #282|ST. LOUIS|MO|63131|636-225-3687|1-636-225-2329|ben@avareps.com|0000100297
AVALON MUSIC||||532 N WENATCHEE AVE|WENATCHEE|WA|98801|509-663-7300|1-509-664-0560|avalon@nwi.net|0000100356
BACKSTREET MUSIC||||123 UNION STREET|COBLESKILL|NY|12043|518-234-4990|1-518-234-4990|Guitarro12118@yahoo.com|0000100378
BAILEY BROTHERS MUSIC||||PO BOX 2269|MONTGOMERY|AL|36102|334-262-7827|1-334-834-3081|mirvine296@aol.com|0000100381
BANANAS AT LARGE INC.||||1504 4TH STREET|SAN RAFAEL|CA|94901|415-457-7600|1-415-457-9148|alan@bananas.com|0000100387
BAYSHORE MUSIC CENTER||||1843 HIGHWAY 35|MIDDLETOWN|NJ|07748|732-706-0850|1-732-706-1958|BAYSHOREMUSIC@VERIZON.NET|0000100398
BEACOCK'S MUSIC||||1420 SE 163RD AVE|VANCOUVER|WA|98683|360-694-7134|1-360-694-3752|russ@beacockmusic.com|0000100405
BELLEVUE AMERICAN MUSIC||||14340 N.E. 20 th.|BELLEVUE|WA|98007|425-641-5005|425-641-2577|bellevue@bellevueamericanmusic.com|0000100419
BENDER MUSIC||||272 MACKALL STREET|ELKTON|MD|21921|410-392-0929|1-410-398-7627|kathy@bendermusic.com|0000100422
BENTLEY GUITAR STUDIOS||||122 SO. MAIN STREET|PARKVILLE|MO|64152|816-746-9772|1-816-746-1916|bentleygtr@aol.com|0000100423
BERT MURDOCK MUSIC||||981 NORTH 1200 WEST|OREM|UT|84057|801-225-7922|1-801-223-9685|RYANMURDOCK@HOTMAIL.COM|0000100432
BEST IN MUSIC||||444 W 800 N|OREM|UT|84057|801-802-8022|1-801-802-7601|BIMMCH@AIRWIERD.NET|0000100435
BIG APPLE MUSIC||||8441 SENECA TPK., STE. E|NEW HARTFORD|NY|13413|315-732-3502|1-315-733-8127|sales@bigapplemusic.net|0000100442
BLUE MOON GUITARS||||1794 Old Highway 16|Jefferson|NC|28640|336-246-3275|1-336-246-3275|bluemoonguitars15@earthlink.net|0000100455
BLUE MOUNTAIN GUITAR CTR||||COLONIAL PLAZA RT 12A|W LEBANON|NH|03784|603-298-5829|1-603-298-5862|doug@bluemtguitar.com|0000100456
BOB'S GUITARS||||5911 UNIVERSITY AVE.|CEDAR FALLS|IA|50613|319-277-8863|1-319-277-8498|SALES@BOBSGUITARS.COM|0000100462
BOB'S MUSIC||||1206 WEST ROBB AVE|LIMA|OH|45801-2825|419-224-7440|1-419-224-8477|nathanh_bobsmusic@yahoo.com|0000100463
BONDZ MUSIC, INC.||||306 N. MAIN STREET|WILDWOOD|FL|34785|352-748-5048|1-352-748-0555|BONDZMUSIC@AOL.COM|0000100466
BOOTHE BROS. MUSIC||||135 NO. MAIN STREET|SPANISH FORK|UT|84660|801-798-7650|1-801-798-4600|mboothe@boothemusic.com|0000100468
BOUNTY MUSIC||||111 HANA HIGHWAY, #105|KAHULUI|HI|96732|(808) 871-1141|1-808-871-1138|paul@bountymusic.com|0000100473
