BNX3,bnx3,How do I do a hard reset on my BNX3?,"You can reset the BNX3 by pressing and holding in the Drums button, (the one by the data wheel, not the one on the recorder) as you turn on the power. When the display shows ""RESET"", let go of the drums button and press the MODE button.  When the display shows ""TOE DOWN"" move the expression pedal all the way forward and press the #3 footswitch. The display should then show ""TOE UP"". Move the pedal all the way back towards you and press the #4 footswitch. The display should then show ""VSWITCH"". Move the pedal forward and put some pressure on it until you see the numerical display change numbers, then back the pedal off again. It is now reset."
BP50,bp50,What is the reset?<br>,"Power up while holding the Left Edit /Effect button. When two horizontal lines appear in the display, let go of the arrow button. Then press and release the STORE button. "
Control8,control-8,Is the Control 8 only for Guitar Applications?,"Certainly not...while keyboard players enjoy the advantage of the sustain pedal (allowing them to do something *else* with their hands), their amy be times when using your feet would be better. One could change MIDI controllable lights, or even switch effects at the mixing console."
Control8,control-8,Can a Control 8 be used instead of a Control 1 with DigiTech Guitar Processors?,"Yes, but the response time won't be quite as quick as a Control 1 because of the Control 1's proprietary communication methods."
Genesis3,genesis3,GenEdit will not connect with my Genesis3.,"If you are having trouble with genedit detecting your device, take the midi<br>out from the genesis 3, connect it to the midi in of another device (i used<br>a behringer 1010 foot controller) connect the midi out of this device into<br>the midi in of your computer.<br>Sent in by Toby Rosen"
GeNetX,"genesis3,genesis1,gnx1,gnx2,gnx3,gnx4,gnx3000",Can you make a hypermodel from a hypermodel?,"Yes, you can. Once you have created a hypermodel, it can now be selected as either a red or green amp and combined with another amp to create a second generation hypermodel."
GeNetX,"genesis3,genesis1,gnx1,gnx2,gnx3,gnx4,gnx3000",Why is modeling cool?,"Modeling gets you as close to the sound of your favorite amp without actually having to own one, thus saving you thousands of dollars and lots of space."
GeNetX,"genesis3,genesis1,gnx1,gnx2,gnx3,gnx4,gnx3000",How is modeling limited?,Modeling is essentially an endpoint. Any given amp model offers a specific sound<br>with limited control over that sound.<br>
GeNetX,"genesis3,genesis1,gnx1,gnx2,gnx3,gnx4,gnx3000",Do GENETX products still do modeling?,"Yes, they do. Each GENETX product has factory based models of popular modern and vintage amplifiers."
GeNetX,"genesis3,genesis1,gnx1,gnx2,gnx3,gnx4,gnx3000",What does the Warp control do?,The Warp control allows you to combine the characteristics of any two amp models in varying ratios. This resultant ratio can then be saved off as a new hypermodel.
GeNetX,"genesis3,genesis1,gnx1,gnx2,gnx3,gnx4,gnx3000",How many hypermodels can I save?,The GNX 1 allows you to save off 9 user hypermodels within the GNX1's internal memory with the GENEDIT  Computer Editor Libarian software you can save off as many hypermodels as your hard drive will allow. These can then be imported to the GNX as needed.
GeNetX,"genesis3,genesis1,gnx1,gnx2,gnx3,gnx4,gnx3000",Isn't Warp just pan or a crossfade?,"No, warping extracts the characteristics of each amp and combines the two into a completely new sound. Whereas panning or crossfading simply increases the level of one while decreasing the level of the other, while not actually combining their actual characteristics."
GeNetX,"genesis3,genesis1,gnx1,gnx2,gnx3,gnx4,gnx3000",What is cabinet tuning?,"Cabinet tuning is as if you actually changed the size of the cabinet and speaker system's physical dimensions, making it larger or smaller. This changes a cabinet's response and resonance characteristics."
GeNetX,"genesis3,genesis1,gnx1,gnx2,gnx3,gnx4,gnx3000",Can a I warp between 2 amps in real time?,"Yes, This can be done either via the expression pedal, internal LFOs, or MIDI CC control. There are three different ways you can warp: you can either warp between amp models only; you can warp between speaker cabinets only; or warp between amp/cabinet combinations. "
GeNetX,"genesis3,genesis1,gnx1,gnx2,gnx3,gnx4,gnx3000",How does the GNX differ from the Genesis?,"The GNX is designed primarily as a live performance system and the GENESIS 3 is designed primarily for recording. Although the GENESIS 3, with the optional foot controller, can be used for live performance as well."
GeNetX,"genesis3,genesis1,gnx1,gnx2,gnx3,gnx4,gnx3000",Can I use Genetx products  as a multi-effects?,"Yes, every GENETXs product is equipped with a vast library of studio quality effects."
GeNetX,"genesis3,genesis1,gnx1,gnx2,gnx3,gnx4,gnx3000",When I create a hypermodel does it sound good?,We're confident that the combination of any two amp models will produce exciting new sounds and we absolutely encourage you to experiment. We also invite you to join our online community of users in sharing your creations with others.
GeNetX,"genesis3,genesis1,gnx1,gnx2,gnx3,gnx4,gnx3000","After downloading updated firmware, my unit shows ""TOE DOWN"" in the display, what do I do now?","TOE DOWN represents a prompt to calibrate the pedal. Rock the expression pedal all the way in the forward position and press the footswitch that is flashing, (On GNX2 this is the EFFECT footswitch, on GNX3 it is the CHORUS footswitch) The diplay will show ""TOE UP"" Rock the exression pedal back towards you and press the lit footswitch (Delay) It now shows VSWITCH, push the pedal forward and put pressure on the toe, then back the pedal off again."
GNX1,gnx1,How is GeNetX better than modeling?,"A. Modeling essentially is an end point in your sound.  You can select 1 amp type and have minimal control over the tone gain and that's it.  With GENTEX processors, you can create your own model from any 2 models and then combine it with other models to create 2nd and 3rd generation amp models that were never before available."
GNX1,gnx1,Can you make a hypermodel from a hypermodel?,"Yes,  you can. Once you have created a hypermodel, it can now be selected as either  a red or green amp and combined with another amp to create a second generation hypermodel."
GNX1,gnx1,Why is modeling cool?,"Modeling gets you as close to the sound of your favorite amp without actually having to own one, thus saving you thousands of dollars and lots of space."
GNX1,gnx1,How is modeling limited?,Modeling is essentially an endpoint. Any given amp model offers a specific sound<br>with limited control over that sound.<br>
GNX1,gnx1,Do GENETX products still do modeling?,"Yes, they do. Each Genetx product has factory based models of popular modern and vintage amplifiers."
GNX1,gnx1,What does the Warp control do?,The Warp control allows you to combine the characteristics of any two amp models in varying ratios. This resultant ratio can then be saved off as a new hypermodel.
GNX1,gnx1,How many hypermodels can I save?,The GNX 1 allows you to save off 9 user hypermodels within the GNX1's internal memory with the GENEDIT  Computer Editor Librarian software you can save off as many hypermodels as your hard drive will allow. These can then be imported to the GNX 1 as needed.
GNX1,gnx1,Isn't Warp just pan or a crossfade?,"No, warping extracts the characteristics of each amp and combines the two into a completely new sound. Whereas panning or crossfading simply increases the level of one while decreasing the level of the other, while not actually combining their actual characteristics.<br><br>The warp control changes the ratio of the characteristics between the two amps (for example: 25% Blackface, 75% British Stack). Once you've created an overall ratio between the two that you like you can actually save that off as an individual amp hypermodel."
GNX1,gnx1,What is cabinet tuning?,"Cabinet tuning is as if you actually changed the size of the cabinet and speaker system's physical dimensions, making it larger or smaller. This changes a cabinet's response and resonance characteristics."
GNX1,gnx1,Can a I warp between 2 amps in real time?,"Yes, this can be done either via the expression pedal, internal LFOs, or MIDI CC control. There are three different ways you can warp: you can either warp between amp models only; you can warp between speaker cabinets only; or warp between amp/cabinet combinations. "
GNX1,gnx1,How does the GNX differ from the GENESIS 3?,"The GNX is designed primarily as a live performance system and the GENESIS 3 is designed primarily for recording. Although the GENESIS 3, with the optional foot controller, can be used for live performance as well."
GNX1,gnx1,Can I use GENETX products  as a multi-effects?,"Yes, every GENETXs product is equipped with a vast library of studio quality effects."
GNX1,gnx1,When I create a hypermodel does it sound good?,We're confident that the combination of any two amp models will produce exciting new sounds and we absolutely encourage you to experiment. We also invite you to join our online community of users in sharing your creations with others.
GNX1,gnx1,What is the hard reset for a GNX1?,"Unit off.<br>Press and hold Rhythm button.<br>Power on.<br>When Reset? appears in display,let go of Rhythm.<br>Press and release FX MODE button.<br>When TOE DN appears in display, put expression pedal toe down,<br>Press/release the flashing footswitch.<br>Put Toe Up, press and release flashing footswitch.<br>V-Switch appears in display.<br>Put toe down on expression pedal, apply pressure to toe until V Switch value in the display increases.<br>Process is ended."
