GSP21,,I need a new cable to connect my foot-controller to my rack unit.  Where can I find one?,"This cable is part number 36-0086 and can be ordered directly from Digitech by calling (801)566-8800.  This part can also be ordered on our website at <a href=""http://outlet.digitech.com"">http://outlet.digitech.com</a>."
2101,,How do I set up the GSP2101 and Control One<br>footswitches to turn off/on an effect or change a parameter.  ,"Note: This applies to GSP2101 non artists prior to 3.00 only! specifically 2.02.<br>To set the control one to function in a stomp box fashion.<br>The first step is to assign a patch to a toggle CC within a program.<br>This need to be done in each program you plan on using.<br>Press UTILITY<br>Select 2 Foot Controller<br>Select 1 Patch Assignment<br>1.Set the bank number<br>2.Patch Number <br>3.Toggle CC  Use the data wheel to select a cc number starting with 0,1,2,3,etc.<br>The CC number should correspond with the patch number for simplicity.<br>Press UTILITY to exit and return to the program.<br><br>Next, link a parameter to a cc number corresponding to the patch location where you would like to control it.<br>Use the next arrow to select the effect or parameter you would like to control.<br>For example DIST on/off<br>Press the number 1 selector button in this case.<br>Press the MIDI button.<br>Press the NEXT arrow<br>The message displayed will be that the cc link number (wich is different from the actual CC number)<br>Is not connected to a parameter.<br>In line 3 of the display is should read.<br>Link to : DISTRT<br>Select #3<br>The next screen reads:<br>1 MIDI CC _ link L#<br>controlling distrt<br>Use the data wheel to change the CC number.<br>Select the CC number that matches the Toggle CC number you specified during the patch set up.  <br><br> <br><br> "
2101,, How do I install a PPC210 card?,"Remove the lid of the 2101, and make sure power is disconnected.<br>Find the S-Disc on the circuit board. It is a large square chip usually in a brown socket. The chip may have a number on it starting with 72-. This number must be the same as the one on the second S-Disc which is on the PPC 210 card. The PPC210 fits over this S-Disc which is already on the circuit board, and connects to a multi-pin socket. Do a hard reset after installation. This is done by having the 2101 off, press and hold the #1 button by the on/off switch, turn on the 2101, let go of the #1 button, then press and release the Program Up arrow button.<br>"
2101,, What is the hard reset for the 2101?,"  Power up while holding the #1 button which is near the on/off switch. Then let go of the #1 button, and press/release the Program Up arrow button."
2112/2120,,How do I assign the expression pedal on the Control One to control wah?,"This has to be done for each preset where you want to have wah assigned to the expression pedal.<br><br>1. Press 'Edit'.<br>2. Turn the main data wheel until the screen shows 'Wah'.<br>3. Turn the #1 dial under the screen until the Wah is turned On.<br>4. Turn the #2 dial so the small arrow moves next to the pedal parameter.<br>5. Press 'Assign'.<br>6. Rock the expression pedal back and forth.<br>7. Use the #3 and #4 dials to set the minimum and maximum values.<br>8. Store your changes (press 'Store' 3 times).<br><br>That's it.  If the pedal had previously been assigned to volume, then it might not sound right.  You'll need to unassign it from Volume."
2112/2120,,How do I change assignments for the expression pedal when I'm using the Control One with the 2120?,"To change assignments for the expression pedal on the Control One when using it with the 2120, you must first un-assign it from the parameter it is currently controlling.<br><br>The following procedure will un-assign the current function.<br><br>1. From the title of the program, press the ""assign"" button twice<br>2. Use the ""page"" knob to scroll through and find the parameter which is currently being controlled by the expression pedal.<br>3. Roll the #1 knob counterclockwise to turn off the link.<br><br>This has disconnected the expression pedal from controlling that parameter.<br><br>You now have to link the new parameter to the expression pedal. The following are the steps for assigning a new parameter.<br><br>1. Scroll through the programs parameters until you find the parameter that you want to assign to the expression pedal.<br>2. Roll the knob that corresponds to that parameter.<br>3. Press the ""assign"" button once.<br>4. Rock the expression pedal back and forth once.<br>5. Store the changes to the preset by pressing the ""store"" button 3 times.<br><br>NOTE: If you're trying to assign the expression pedal to act as a wah, you need to scroll to your wah parameters, and then roll the knob which corresponds to the wah pedal (#2 knob) before pressing the assign button."
2112/2120,,How do I access the cabinet emulator on the 2120?,"To access the cabinet emulator on the 2120, press the button that says ""other"" above it until you reach the ""master mix"" section. Then roll the ""page"" knob to page 2. Here you will find the cabinet emulator on/off , the emulation type, and the pre/post parameters."
2112/2120,,"How do I assign the ""solo"" function to a footswitch on the control one?","The following steps will assign the solo button to a footswitch on the control one.<br><br>1. Press the ""other"" button until you reach the ""master mix"" section.<br>2. Roll the ""page"" knob to get to page 3.<br>3. Press the assign button once.<br>4. Press the footswitch that you want to have activate/deactivate the solo function on the control one.<br>5. Press the store button 3 times to save the assignment to the program."
2112/2120,,How do I assign the expression pedal to morph?,"The following steps will assign the expression pedal to the preamp morphing function.<br><br>1. Press the ""other "" button until you reach the ""master mix"" section.<br>2. Roll the ""page"" knob until you get to page 4<br>3. Roll the #3 knob until the display shows ""morphing""<br>4. Press the store button 3 times to save the assignments to the program."
2112/2120,,How do I assign my favorite programs to the footswitches on the Control One?,Assigning programs to the switches on the Control One is very easy. Just follow these steps.<br><br>1. Roll the big program knob to select the program you want to assign.<br>2. Press the assign switch once.<br>3. Press the footswitch on the Control One that you want to have your program assigned to.<br><br>You have now assigned the program to the footswitch.
2112/2120,,How do I reinitialize the 2120 (return it to factory settings)?,"To reinitialize the 2120, turn the power off, press and hold the ""preamp"" button down while turning the power back on. After about 2 seconds, release the preamp button, and press the ""mod"" button once. The display will briefly show ""resetting"", and return to a normal operating mode."
2112/2120,,How do I install the new E-Prom version for the System software update or upgrade?,Here's how to install the new chip:  (Start with the unit unplugged and be sure you've grounded yourself from static electricity.)<br><br>1.  Take the top off the unit.  (You may need to take out some of the face screws in order to get it off.)<br>2.  Locate the original chip and take note of which direction it is facing.  It has a notch on one end.  It will have part 72-3142-06v#.## printed on it.  (Your old version number will appear in place of the number signs.)<br>3.  Take out the old chip by gently prying it up using a chip puller or a flat-blade screwdriver.<br>4.  Install the new chip.  Make sure the notch is facing the correct direction and make sure the pins line up correctly with the socket.  Then gently press the chip into the socket.<br>5.  Perform a hard reset on the machine by holding in the PREAMP button while powering up.  Then let go and press the MOD button.<br>6.  Your new software should be automatically recognized.
